district,temple_count
Bagalkot,1850
Ballari,1420
Belagavi,2650
Bengaluru Rural,980
Bengaluru Urban,1250
Bidar,890
Chamarajanagar,1100
Chikballapur,970
Chikkamagaluru,1680
Chitradurga,1320
Dakshina Kannada,2480
Davanagere,1210
Dharwad,1180
Gadag,1540
Hassan,2210
Haveri,1490
Kalaburagi,1120
Kodagu,760
Kolar,1350
Koppal,1430
Mandya,1880
Mysuru,2390
Raichur,920
Ramanagara,1170
Shivamogga,2140
Tumakuru,2010
Udupi,2260
Uttara Kannada,2730
Vijayapura,1510
Yadgir,680
Vijayanagara,830
Belagavi Rural,950
Karwar,1400
