District,Population
Bangalore Urban,9621551
Mysore,3001127
Dakshina Kannada,2089649
Belgaum,4779661
Gulbarga,2564892
Shimoga,1752753
Tumkur,2681449
Dharwad,1846993
Bijapur,2175102
Hassan,1776421
Raichur,1928812
Bellary,2531592
Bidar,1700018
Chitradurga,1660378
Davanagere,1946905
Gadag,1065235
Haveri,1598506
Kodagu,554762
Kolar,1540231
Koppal,1391274
Mandya,1808680
Ramanagara,1082739
Udupi,1177908
Uttara Kannada,1437169
Yadgir,1172985
Chikkaballapura,1254494
Chikmagalur,1137574
Chamrajnagar,1020791
Bagalkot,1888294
Bangalore Rural,987257
